,inner_star1_id,inner_star2_id,tertiary_star_id,sep_inner_AU,sep_inner_tertiary_AU,matched_stars,matched_catalogs,solution_type,n_matched_components
197,2985978710062186368,2985978710062186112,2985981664999686528,468.7947544116582,2090.5226740975477,tertiary,NSS,AstroSpectroSB1,1
198,6427519408594660608,6427519408594660224,6427519442954396160,1672.4979724730124,7243.265958370199,inner_star1,NSS,Orbital,1
199,1363514613103665408,1363514613102431360,1363514613103666944,625.8161059245622,6870.583204410626,inner_star1,NSS,SB1,1
200,5349686679783216512,5349686679792112512,5349686679791431424,267.9327373671775,3164.9994552988856,tertiary,NSS,Orbital,1
201,5358586023835447424,5358586023835446144,5358586023835449088,3679.7910065221017,12039.41185058884,inner_star1,Gaia_Eclipsing,eclipsing,1
202,1885572453481856384,1885572457778095104,1885572457778094720,1284.0591544744595,2018.535947274475,tertiary,NSS,Orbital,1
203,1879201131494313088,1879201131490541952,1879201131493295232,815.7783629024792,11653.850504423875,inner_star1,NSS,SB1,1
204,5645967164682517632,5645967164679642752,5645970257058995840,177.62492009308366,29961.425953795464,inner_star1,NSS,SB1,1
205,5646197993409856000,5646197993410008704,5646197993404304128,901.1744645186694,1947.681306130408,inner_star1,NSS,SB1,1
206,5645527737988796800,5645527737992908160,5645527737992907648,140.1221678574011,830.2758348306448,inner_star1,Gaia_Eclipsing,eclipsing,1
207,5909197154680420864,5909197154677059584,5909197154680404480,391.42606385833864,16641.953275270746,inner_star2,Gaia_Eclipsing,eclipsing,1
208,2132762256756967296,2132762256755806848,2132809192158414464,1200.632860758871,18691.878140669814,tertiary,NSS,SB1,1
209,3453570837506228096,3453570833210579584,3453571249823665280,1342.5157727402318,14410.303436689048,inner_star1,NSS,SB1,1
210,2171452456038414208,2171452456038414464,2171452456038415616,513.7328340796118,3895.5291739595777,inner_star2,Gaia_Eclipsing,eclipsing,1
211,1743169411168858496,1743169411168858368,1743167147722100096,1628.1694786991172,56500.33990759983,inner_star1,NSS,SB1,1
212,5304672811195954432,5304672811196109824,5304675766133609088,584.380910135202,8551.666476024979,inner_star1,Gaia_Eclipsing,eclipsing,1
213,990932792950025728,990932797245410688,978829064009525376,1024.3416587040326,53178.28212814052,tertiary,NSS,SB1,1
214,2075778997198010368,2075778997198625536,2075777592744673024,2950.419114316135,7050.410052336938,inner_star1,NSS,SB1,1
215,6407914360355718400,6407914356060458112,6407914360355718784,1296.1067795643617,6648.856051039167,tertiary,NSS,Orbital,1
216,6400168919413671040,6400168919412123520,6400168919412119552,564.7528235577169,4056.957414859183,inner_star1,NSS,SB1,1
217,3409467398889399808,3409467398888321024,3409467398890583808,172.9325591703101,1482.9751288311763,tertiary,Gaia_Eclipsing,eclipsing,1
218,2577061260424130304,2577061264719259264,2577061092921353984,80.51142201720083,971.9146636737628,inner_star1,NSS,SB2,1
219,4162869087126668672,4162869087118735360,4162869082825595648,903.1925454555932,6771.704189716103,inner_star2,Gaia_Eclipsing,eclipsing,1
220,5640594568610055424,5640594572918243968,5640594675997293568,496.9436515947306,9135.384628421176,tertiary,Gaia_Eclipsing,eclipsing,1
221,6373593929528340608,6373593929528342272,6373595166479015040,4230.576733998429,27334.255578476565,inner_star1,Gaia_Eclipsing,eclipsing,1
222,5352661679073136640,5352661580329234688,5352664500908389632,733.8901026375548,21499.6373929081,inner_star1,Gaia_Eclipsing,eclipsing,1
223,5040193088778916480,5040193088778916736,5040192676462057984,1695.671528000159,30661.659752679203,inner_star1,Gaia_Eclipsing,eclipsing,1
224,5045542247209122944,5045542247209123072,5045542075410431744,227.08080664924648,2319.4669864950197,inner_star1,Gaia_Eclipsing,eclipsing,1
225,5031246598886611072,5031246603182592128,5031246598886833408,132.54239514347205,1096.3214033948288,inner_star1,Gaia_Eclipsing,eclipsing,1
226,2035376278535687168,2035376308574732160,2035376278535962112,1296.7354609456413,12053.12993998748,inner_star2,NSS,SB1,1
227,4454470394123830144,4454470394123829632,4454470394123833216,1046.9651502175072,8129.520264808872,inner_star1,Gaia_Eclipsing,eclipsing,1
228,3089946158762370816,3089946154469894400,3089945402848127360,272.5729526338676,2565.157712459806,tertiary,NSS,SB1,1
229,5442965982110065408,5442965982107065856,5442966153908756992,523.8477987120808,6518.27546366786,inner_star1,Gaia_Eclipsing,eclipsing,1
230,2584794606738912640,2584794611034211968,2584794611034212096,1406.4582607111158,2758.558466610833,inner_star1,NSS,SB1,1
231,4188573981053642880,4188573985351717120,4188573950991982336,473.59282901561505,7315.843191507357,tertiary,Gaia_Eclipsing,eclipsing,1
232,5241628841711489152,5241628841711736320,5241628876071226496,736.2086059281164,3787.12664142711,inner_star1,NSS,AstroSpectroSB1,1
233,3844669558749645440,3844669490031927040,3844669490030192896,135.91955102647898,5244.58517731426,inner_star1,NSS,SB1,1
234,3842271249011176576,3842271356385849216,3842271253306634496,594.6413387031625,2044.9951606321015,inner_star1,NSS,SB1,1
235,4309358322660016128,4309358326961762176,4309357880290106496,529.8688657397308,18512.793054095593,inner_star1,Gaia_Eclipsing,eclipsing,1
236,4539598157762243328,4539598157762646144,4539598157762242816,612.0095812188599,9312.04082644013,inner_star1,NSS,SB1,1
