,star_1_source_id,star_1_ra,star_1_dec,star_1_parallax,star_1_parallax_error,star_1_pmra,star_1_pmdec,star_1_pmra_error,star_1_pmdec_error,star_1_phot_g_mean_mag,star_1_bp_rp,star_2_source_id,star_2_ra,star_2_dec,star_2_parallax,star_2_parallax_error,star_2_pmra,star_2_pmdec,star_2_pmra_error,star_2_pmdec_error,star_2_phot_g_mean_mag,star_2_bp_rp,star_3_source_id,star_3_ra,star_3_dec,star_3_parallax,star_3_parallax_error,star_3_pmra,star_3_pmdec,star_3_pmra_error,star_3_pmdec_error,star_3_phot_g_mean_mag,star_3_bp_rp,star_4_source_id,star_4_ra,star_4_dec,star_4_parallax,star_4_parallax_error,star_4_pmra,star_4_pmdec,star_4_pmra_error,star_4_pmdec_error,star_4_phot_g_mean_mag,star_4_bp_rp,star_1_abs_g_mag,star_2_abs_g_mag,star_3_abs_g_mag,star_4_abs_g_mag,star_1_type,star_2_type,star_3_type,star_4_type,quad_type
1860,5923105083433241216,260.0403161230701,-54.63561268586943,3.6765257347641245,0.12663714587688446,0.11026534149820888,-16.542162621169034,0.1189088448882103,0.10104257613420486,17.585695266723633,3.5858516693115234,5923106968903643520,260.01433457107936,-54.54890293783429,3.862348890237784,0.01898975297808647,0.06087769205550719,-17.0716070532322,0.018298719078302383,0.014971332624554634,9.466911315917969,0.3126239776611328,5923106968908408832,260.01481447715275,-54.55051758576233,4.451663781288522,0.3125835061073303,0.2592580505046955,-16.745135759527564,0.3610673248767853,0.24306754767894745,18.963375091552734,1.256418228149414,5923121262555714176,260.18429079600196,-54.40764800572223,3.9263266964942636,0.14371968805789948,-0.4705880799006985,-17.05017341699647,0.13800401985645294,0.11454598605632782,17.902599334716797,2.406949996948242,10.412883318081462,2.401168823493883,12.205986872286257,10.872531499500525,MS,MS,MS,MS,MS-MS-MS-MS
1861,5316036293919824896,126.71270663217643,-56.42929841532228,2.835634507769665,0.09398271143436432,-14.771225493361218,20.45401546951598,0.11201256513595581,0.10004650801420212,17.95264434814453,3.0248260498046875,5316036293921552512,126.71528707901213,-56.429549397794,2.4697068822741177,0.49320849776268005,-16.03624086775215,20.53892765837154,0.7340508103370667,0.5678969025611877,20.1087703704834,2.5750465393066406,5316040868065955968,126.49745068843015,-56.380421419835024,2.752528947980954,0.05700673162937164,-14.955365430340024,21.232561028271384,0.0627794936299324,0.06577491760253906,17.098194122314453,2.3992233276367188,5316064060889640832,126.70874308852802,-56.309315900592416,2.318207931561113,0.37673869729042053,-16.243937040449765,21.76024269400141,0.3742162883281708,0.4368387460708618,19.99507713317871,2.4329776763916016,10.215895612067776,12.071997430375088,9.296853597740089,11.820839070176818,MS,MS,MS,MS,MS-MS-MS-MS
1862,5316038699101417600,126.37238432267532,-56.466121062804554,3.3884349691220716,0.1386873871088028,-7.957946090328688,2.8797439017916453,0.16744272410869598,0.16218352317810059,18.463754653930664,3.3238487243652344,5316219779214842368,126.0827081061444,-56.47797843004083,3.149519903933893,0.030941804870963097,-7.9680952930394895,3.213967426308436,0.03646581992506981,0.03709544241428375,11.200348854064941,0.655517578125,5316221256689756544,126.08316495500834,-56.47776493839311,3.0600864059947406,0.026006871834397316,-7.396271278772586,3.831832417046197,0.0305736493319273,0.032605864107608795,11.255315780639648,0.6949901580810547,5316228884551746176,126.44033200723959,-56.34122523128464,3.019424708769581,0.02358005940914154,-8.086992011250517,3.0452330027249976,0.026367679238319397,0.02763393148779869,15.460023880004883,1.7815732955932617,11.113750429290521,3.6915706405319337,3.683984228598068,7.859644903388454,MS,MS,MS,MS,MS-MS-MS-MS
1863,5315454209890242304,124.16557927352183,-58.23579260599295,2.8693564472387174,0.010262432508170605,6.50380863386978,-11.117638193007878,0.012622246518731117,0.015423303470015526,13.143112182617188,1.0046501159667969,5315454209891869696,124.16394913679757,-58.23510005289443,2.7016585029874842,0.17755910754203796,6.692961535772951,-11.499300515522089,0.22266989946365356,0.27466142177581787,18.67751693725586,1.8334579467773438,5315456546352497024,124.40573598177569,-58.13662249255419,2.4449276599425804,0.31623682379722595,6.913458576372174,-10.70077755146573,0.45178288221359253,0.45314353704452515,19.91438865661621,2.409942626953125,5315461249338356992,124.28966540861283,-58.01459560761499,2.6164844149343205,0.3757997453212738,7.110040963237147,-11.63794652360764,0.42277514934539795,0.5857736468315125,20.04636001586914,2.819355010986328,5.432034692848962,10.835669197989512,11.85571872574972,12.134950776930376,MS,MS,MS,MS,MS-MS-MS-MS
1864,5985122624488469632,239.63472410962697,-46.17458464937026,2.079117749688965,0.030700428411364555,-3.516084314394092,-7.935559142348488,0.03405173495411873,0.029069961979985237,15.143285751342773,1.4687156677246094,5985128018958260096,239.55809994200993,-46.21334280904078,2.182082618338638,0.3929997980594635,-3.2350169396580086,-8.83923449208001,0.473270982503891,0.48258399963378906,19.634693145751953,2.728910446166992,5985129771305124096,239.4665420964405,-46.13362940129189,2.1170806068013626,0.389198899269104,-3.218443605473333,-7.797070061304044,0.49257272481918335,0.4601331949234009,19.7187442779541,2.2216129302978516,5985139873077230336,239.4148882517266,-46.015761616720276,2.3480155571858323,0.019915271550416946,-2.88800076424287,-8.118352287943063,0.021017933264374733,0.017622875049710274,12.663978576660156,0.9210481643676758,6.73268118162698,11.32904909518338,11.34743124736762,4.517483427054177,MS,MS,MS,MS,MS-MS-MS-MS
1865,5882447205055512576,236.8462327834495,-57.52177512800758,4.882815932393319,0.12527139484882355,-6.765389049106591,-22.866813159325897,0.11713573336601257,0.11706352233886719,17.98921775817871,2.9212818145751953,5882447205082280832,236.84529258165432,-57.5225737417457,4.72198703663429,0.028895435854792595,-5.921713015801088,-23.698147001393295,0.02914518304169178,0.02870086207985878,15.339920997619629,2.13291072845459,5882454351888874496,236.81874861077947,-57.42846691750872,3.7024461983442665,0.6500619053840637,-8.067459013308842,-22.167010365647887,0.6214284300804138,0.6374313831329346,19.59440803527832,1.8201160430908203,5882454351909402880,236.8157367556335,-57.42620633284093,4.342186216918678,0.015231921337544918,-9.833722777949822,-23.68615883663709,0.01568201370537281,0.014573141001164913,10.66115665435791,0.8213672637939453,11.432569523104755,8.710544949954599,12.436851816981255,3.8496988766726865,MS,MS,MS,MS,MS-MS-MS-MS
1866,5882513828622288256,236.30846514120643,-57.21099498804188,2.2507729077481846,0.4178292751312256,-10.97355498971426,-6.906170758446737,0.39396658539772034,0.3724448084831238,18.98453140258789,,5882514339639410048,236.32367649911984,-57.16925515978917,2.117417739771015,0.1778305470943451,-10.741214985212602,-6.242819957201679,0.17918194830417633,0.16161438822746277,18.50282096862793,2.6753616333007812,5882518359724617856,236.06776999803844,-57.11021857641867,3.464481527649353,0.016073381528258324,-10.495395131290628,-8.035932491251982,0.016024475917220116,0.014938559383153915,12.041861534118652,0.9823122024536133,5882518364107688832,236.07105989869424,-57.11252810201783,3.454513508453169,0.025313163176178932,-10.573606023406967,-7.661928772955978,0.025131594389677048,0.024311047047376633,8.19593620300293,0.21696186065673828,10.746189797432628,10.131853705064396,4.740052784371779,0.8878706793967455,??,MS,MS,MS,??-MS-MS-MS
1867,278903223310284160,71.16857549018043,59.07236218670084,6.237092841952464,0.839188277721405,6.216767930774747,-5.1395859290136805,0.9351516962051392,0.7828328609466553,19.579008102416992,3.077260971069336,279088662819333248,70.83313165270434,59.154003964622675,3.294147674462886,0.02847212553024292,7.878107162695531,-5.552626669552363,0.027882670983672142,0.025027422234416008,10.620302200317383,0.8237972259521484,279103811167097088,70.82960409329259,59.32646116213861,3.4400398077877803,0.521883487701416,7.178337903251748,-6.188630186995134,0.5160084366798401,0.4364496171474457,19.976381301879883,2.4735469818115234,279106461163452928,70.64074184877629,59.35757025267236,3.466009312440672,0.3175176680088043,7.0377641801825535,-5.553158799229107,0.3330136239528656,0.2884851098060608,15.94588565826416,2.3395776748657227,13.553919146263757,3.2090175223409183,12.659198642938899,8.645034284452791,MS,MS,MS,MS,MS-MS-MS-MS
1868,277286249726625152,67.4155538353751,55.74505113155014,3.0271963600652914,0.4669385552406311,9.26616737620169,-11.267064722321733,0.4907113015651703,0.41167759895324707,18.968339920043945,2.73443603515625,277309476911880192,67.87438560597388,55.890686374660646,2.5291311955082563,0.14835064113140106,11.294402523017693,-11.653484341415005,0.18301700055599213,0.13318461179733276,18.249483108520508,2.9076061248779297,277309476916190336,67.87537671801951,55.8907923102755,3.3604157621453896,0.41967687010765076,11.464661688553676,-12.48282400043458,0.5020236372947693,0.4120849668979645,19.713605880737305,2.9158191680908203,277358753071980288,67.49204618026496,55.92340750685238,5.318641891001264,0.6673012375831604,9.824464209681352,-11.776551411429146,0.766058087348938,0.5759953260421753,18.1303768157959,3.1522998809814453,11.373542882651334,10.2643399005716,12.345570946310211,11.759380565107236,MS,MS,MS,MS,MS-MS-MS-MS
1869,5997120014323053056,243.42101742936958,-39.82603247286448,3.0760808068296845,0.09498170763254166,-17.89883584315978,-10.355925648961485,0.10623584687709808,0.07812748849391937,17.427974700927734,2.7089061737060547,5997120529719177088,243.30698604822683,-39.829203664356854,2.657852845172092,0.12063322961330414,-18.35879146077513,-10.332741762393912,0.12637734413146973,0.08604332059621811,17.77056884765625,2.8099937438964844,5997122346477163520,243.4188475516573,-39.77410788365198,2.6820352626372683,0.4542302191257477,-18.5640339935399,-9.747907518831012,0.5325022339820862,0.33337774872779846,19.61800765991211,3.0537986755371094,5997146917999105280,243.47060775002464,-39.63029334561224,5.022945562599927,0.7418034076690674,-20.624464772720927,-10.44061301466694,1.0307925939559937,0.5754446387290955,19.812244415283203,2.3379173278808594,9.867963400624246,9.893223508156153,11.760330077579697,13.31703677234556,MS,MS,MS,MS,MS-MS-MS-MS
